Name,When Watched,Where did I watch it?,Episode,Episode Name,Year Released,Genre,"Movie
TV show",Rating out of 5,Would I recommend this?,Review,Main Actor,Director,Rating,Length,Rewatch,
Futurama,03/01/2021,Amazon Prime,S1:E1,Space Pilot 3000,1999,Animated,Series,4,Yes,,Billy West,Rich Moore,12,00:22:31,,
Futurama,03/01/2021,Amazon Prime,S1:E2,The Series has landed,1999,Animated,Series,4,Yes,,Billy West,Rich Moore,12,00:22:32,,
Futurama,04/01/2021,Amazon Prime,S1:E3,"I, Roommate",1999,Animated,Series,4,Yes,,Billy West,Rich Moore,12,00:22:32,,
Futurama,04/01/2021,Amazon Prime,S1:E4,Love's Laboursd os in Space,1999,Animated,Series,3,Yes,,Billy West,Rich Moore,12,00:22:33,,
Futurama,04/01/2021,Amazon Prime,S1:E5,Fear of a Bot Planet,1999,Animated,Series,3,Yes,,Billy West,Rich Moore,12,00:22:32,,
History of Swear Words,05/01/2021,Netflix,S1:E1,F**k,2020,Documentary,Series,3.5,Yes,,Nicolas Cage,,15,00:20:52,,
Futurama,05/01/2021,Amazon Prime,S1:E6,A Fishful of Dollars,1999,Animated,Series,4,Yes,,Billy West,Rich Moore,12,00:22:31,,
Futurama,05/01/2021,Amazon Prime,S1:E7,My Three Suns,1999,Animated,Series,3.5,Yes,,Billy West,Rich Moore,12,00:22:31,,
Futurama,06/01/2021,Amazon Prime,S1:E8,A Big Piece of Garbage,1999,Animated,Series,3.5,Yes,,Billy West,Rich Moore,12,00:22:31,,
Futurama,06/01/2021,Amazon Prime,S1:E9,Hell is Other Robots,1999,Animated,Series,3.5,Yes,,Billy West,Rich Moore,12,00:22:31,,
History of Swear Words,06/01/2021,Netflix,S1:E2,Sh*t,2020,Documentary,Series,3.5,Yes,,Nicolas Cage,,15,00:20:54,,
Futurama,06/01/2021,Amazon Prime,S2:E1,A Flight to Remember,1999,Animated,Series,3.5,Yes,,Billy West,Rich Moore,12,00:22:33,,
Futurama,08/01/2021,Amazon Prime,S2:E2,Mars University,1999,Animated,Series,4,Yes,,Billy West,Rich Moore,12,00:22:33,,
Futurama,08/01/2021,Amazon Prime,S2:E3,When Aliens Attack,1999,Animated,Series,4,Yes,,Billy West,Rich Moore,12,00:22:33,,
Futurama,08/01/2021,Amazon Prime,S2:E4,Fry and the Slurm Factory,1999,Animated,Series,3,Yes,,Billy West,Rich Moore,12,00:22:33,,
Futurama,08/01/2021,Amazon Prime,S2:E5,I second that emotion,1999,Animated,Series,3,Yes,,Billy West,Rich Moore,12,00:22:33,,
Futurama,08/01/2021,Amazon Prime,S2:E6,"Brannigan, Begin Again",1999,Animated,Series,3,Yes,,Billy West,Rich Moore,12,00:22:33,,
